ID Producto,ID Tienda,Fecha de Venta,Cantidad Vendida,Precio Unitario,Categoría de Producto,Ubicación de Tienda,Promoción o Descuento,Estacionalidad,Método de Pago,Nivel de Inventario
Producto_43,Tienda_2,2023-02-13,81,498.48,Deportes,Zona Este,1,1,Efectivo,10
Producto_22,Tienda_1,2023-04-19,25,204.46,Juguetes,Zona Norte,0,1,Crédito,100
Producto_27,Tienda_6,2022-05-29,13,253.3,Alimentos,Zona Este,1,0,Crédito,100
Producto_6,Tienda_6,2022-08-15,67,134.23,Electrónica,Zona Norte,0,1,Efectivo,50
Producto_1,Tienda_5,2023-02-02,21,329.8,Alimentos,Zona Este,1,0,Efectivo,300
Producto_22,Tienda_3,2022-03-18,84,43.03,Juguetes,Zona Oeste,0,0,Tarjeta,50
Producto_36,Tienda_10,2023-09-14,10,412.35,Electrónica,Zona Sur,0,1,Efectivo,30
Producto_1,Tienda_4,2022-07-07,43,406.15,Hogar,Zona Este,0,1,Efectivo,10
Producto_18,Tienda_7,2022-04-03,89,233.65,Electrónica,Zona Sur,0,1,Tarjeta,5
Producto_24,Tienda_9,2023-06-20,83,263.33,Hogar,Zona Oeste,1,1,Efectivo,500
Producto_33,Tienda_2,2023-12-03,95,323.03,Deportes,Zona Oeste,0,1,Tarjeta,50
Producto_4,Tienda_2,2023-03-25,56,203.6,Electrónica,Zona Norte,1,0,Tarjeta,30
Producto_28,Tienda_10,2022-12-23,83,94.91,Ropa,Zona Norte,1,0,Tarjeta,50
Producto_18,Tienda_3,2022-12-21,79,137.31,Hogar,Zona Este,1,0,Crédito,20
Producto_31,Tienda_1,2022-06-15,45,30.97,Electrónica,Zona Oeste,1,1,Efectivo,100
Producto_14,Tienda_2,2023-11-22,6,316.98,Electrónica,Zona Sur,1,1,Efectivo,20
Producto_21,Tienda_8,2022-12-16,89,157.9,Ropa,Zona Norte,1,0,Tarjeta,200
Producto_32,Tienda_6,2023-10-20,13,422.71,Electrónica,Zona Sur,1,1,Tarjeta,10
Producto_15,Tienda_10,2022-12-09,32,225.68,Alimentos,Zona Norte,1,1,Efectivo,5
Producto_24,Tienda_8,2023-07-01,2,467.29,Alimentos,Zona Este,1,0,Efectivo,500
Producto_2,Tienda_4,2023-02-09,91,143.91,Hogar,Zona Oeste,1,0,Crédito,200
Producto_30,Tienda_9,2022-09-15,51,124.89,Ropa,Zona Sur,1,0,Crédito,50
Producto_10,Tienda_3,2023-10-28,46,100.19,Juguetes,Zona Norte,0,0,Efectivo,10
Producto_29,Tienda_4,2022-10-24,18,271.93,Ropa,Zona Sur,1,1,Crédito,200
Producto_17,Tienda_2,2023-09-24,38,14.69,Ropa,Zona Sur,1,1,Tarjeta,500
Producto_22,Tienda_1,2022-12-05,45,455.8,Juguetes,Zona Norte,1,0,Tarjeta,300
Producto_2,Tienda_4,2022-01-31,88,383.4,Deportes,Zona Norte,0,0,Crédito,5
Producto_48,Tienda_3,2022-04-09,57,423.6,Juguetes,Zona Oeste,0,1,Tarjeta,100
Producto_1,Tienda_2,2023-08-28,48,488.94,Deportes,Zona Sur,0,1,Efectivo,100
Producto_42,Tienda_2,2022-08-02,36,464.76,Hogar,Zona Este,1,1,Crédito,300
